,,,,,,Opening balance,70,Field capacity,70,Stress point,28,Wilting point,0
day,rain,evapo_trans,month,year,Actual ET,TAW with actual ET and Max 44,,,,,,,
1/06/1980,0,0.244,6,1980,,79.6,,TAW= 1000 x (FC - WP) x rooting depth,,,,,
2/06/1980,0,0.634,6,1980,0.634,78.966,,,,,,,
3/06/1980,7.6,0.29,6,1980,0.29,86.276,,Egmonth black loam,,,,,
4/06/1980,19.4,0.201,6,1980,0.201,105.475,,FC,44%,% v/v,,,
5/06/1980,1.9,0.361,6,1980,0.361,107.014,,WP,24%,% v/v,,,
6/06/1980,7.3,0.279,6,1980,0.279,114.035,,Rooting depth,0.4,m,,,
7/06/1980,0,0.226,6,1980,0.226,113.809,,,,,,,
8/06/1980,1.5,0.954,6,1980,0.954,114.355,,TAW,79.6,,,,
9/06/1980,0,0.637,6,1980,0.637,113.718,,Stress point,31.84,,,,
10/06/1980,0,0.835,6,1980,0.835,112.883,,Stress level %,,0.4,,,
11/06/1980,63.6,0.298,6,1980,0.298,176.185,,,,,,,
12/06/1980,0,1.055,6,1980,1.055,175.13,,,,,,,
13/06/1980,8,0.553,6,1980,0.553,182.577,,,,,,,
14/06/1980,1.4,0.304,6,1980,0.304,183.673,,,,,,,
15/06/1980,9.9,0.451,6,1980,0.451,193.122,,,,,,,
16/06/1980,3.6,0.389,6,1980,0.389,196.333,,,,,,,
17/06/1980,0,0.771,6,1980,0.771,195.562,,,,,,,
18/06/1980,0,0.808,6,1980,0.808,194.754,,,,,,,
19/06/1980,0,1.026,6,1980,1.026,193.728,,,,,,,
20/06/1980,0,0.656,6,1980,0.656,193.072,,,,,,,
21/06/1980,0,0.312,6,1980,0.312,192.76,,,,,,,
22/06/1980,0,0.295,6,1980,0.295,192.465,,,,,,,
23/06/1980,0,0.843,6,1980,0.843,191.622,,,,,,,
24/06/1980,0,0.461,6,1980,0.461,191.161,,,,,,,
25/06/1980,0,0.234,6,1980,0.234,190.927,,,,,,,
26/06/1980,0,1.085,6,1980,1.085,189.842,,,,,,,
27/06/1980,0,0.922,6,1980,0.922,188.92,,,,,,,
28/06/1980,0,0.294,6,1980,0.294,188.626,,,,,,,
29/06/1980,1.8,0.361,6,1980,0.361,190.065,,,,,,,
30/06/1980,19.7,0.17,6,1980,0.17,209.595,,,,,,,
1/07/1980,2.6,1.14,7,1980,1.14,211.055,,,,,,,
2/07/1980,1.2,0.48,7,1980,0.48,211.775,,,,,,,
3/07/1980,9.3,0.275,7,1980,0.275,220.8,,,,,,,
4/07/1980,1.2,0.359,7,1980,0.359,221.641,,,,,,,
5/07/1980,0,0.619,7,1980,0.619,221.022,,,,,,,
6/07/1980,0,0.659,7,1980,0.659,220.363,,,,,,,
7/07/1980,5.5,0.764,7,1980,0.764,225.099,,,,,,,
8/07/1980,3.9,0.722,7,1980,0.722,228.277,,,,,,,
9/07/1980,7.3,0.293,7,1980,0.293,235.284,,,,,,,
10/07/1980,4.6,0.73,7,1980,0.73,239.154,,,,,,,
11/07/1980,12.4,0.286,7,1980,0.286,251.268,,,,,,,
12/07/1980,0,1.117,7,1980,1.117,250.151,,,,,,,
13/07/1980,0,1.179,7,1980,1.179,248.972,,,,,,,
14/07/1980,10.4,0.477,7,1980,0.477,258.895,,,,,,,
15/07/1980,9.6,0.599,7,1980,0.599,267.896,,,,,,,
16/07/1980,1.2,0.542,7,1980,0.542,268.554,,,,,,,
17/07/1980,0,1.223,7,1980,1.223,267.331,,,,,,,
18/07/1980,0,0.567,7,1980,0.567,266.764,,,,,,,
19/07/1980,0,1.066,7,1980,1.066,265.698,,,,,,,
20/07/1980,0,0.565,7,1980,0.565,265.133,,,,,,,
21/07/1980,0,0.297,7,1980,0.297,264.836,,,,,,,
22/07/1980,8.1,0.239,7,1980,0.239,272.697,,,,,,,
23/07/1980,16.1,0.266,7,1980,0.266,288.531,,,,,,,
24/07/1980,0,1.116,7,1980,1.116,287.415,,,,,,,
25/07/1980,0,0.742,7,1980,0.742,286.673,,,,,,,
26/07/1980,1.7,0.756,7,1980,0.756,287.617,,,,,,,
27/07/1980,0,0.379,7,1980,0.379,287.238,,,,,,,
28/07/1980,0,0.795,7,1980,0.795,286.443,,,,,,,
29/07/1980,0,0.47,7,1980,0.47,285.973,,,,,,,
30/07/1980,3.4,0.968,7,1980,0.968,288.405,,,,,,,
31/07/1980,2.5,0.289,7,1980,0.289,290.616,,,,,,,
1/08/1980,23.6,0.46,8,1980,0.46,313.756,,,,,,,
2/08/1980,7.8,1.083,8,1980,1.083,320.473,,,,,,,
3/08/1980,0,1.224,8,1980,1.224,319.249,,,,,,,
4/08/1980,0,1.433,8,1980,1.433,317.816,,,,,,,
5/08/1980,0,1.269,8,1980,1.269,316.547,,,,,,,
6/08/1980,4.6,1.439,8,1980,1.439,319.708,,,,,,,
7/08/1980,1.4,1.318,8,1980,1.318,319.79,,,,,,,
8/08/1980,0,1.322,8,1980,1.322,318.468,,,,,,,
9/08/1980,0,0.982,8,1980,0.982,317.486,,,,,,,
10/08/1980,0,1.738,8,1980,1.738,315.748,,,,,,,
11/08/1980,0,0.965,8,1980,0.965,314.783,,,,,,,
12/08/1980,1.8,0.728,8,1980,0.728,315.855,,,,,,,
13/08/1980,4.3,0.861,8,1980,0.861,319.294,,,,,,,
14/08/1980,0,1.925,8,1980,1.925,317.369,,,,,,,
15/08/1980,1.2,1.261,8,1980,1.261,317.308,,,,,,,
16/08/1980,24.9,0.734,8,1980,0.734,341.474,,,,,,,
17/08/1980,3.2,0.803,8,1980,0.803,343.871,,,,,,,
18/08/1980,0,1.752,8,1980,1.752,342.119,,,,,,,
19/08/1980,0,1.076,8,1980,1.076,341.043,,,,,,,
20/08/1980,0,0.991,8,1980,0.991,340.052,,,,,,,
21/08/1980,0,1.907,8,1980,1.907,338.145,,,,,,,
22/08/1980,0,1.57,8,1980,1.57,336.575,,,,,,,
23/08/1980,0,0.654,8,1980,0.654,335.921,,,,,,,
24/08/1980,0,1.408,8,1980,1.408,334.513,,,,,,,
25/08/1980,0,1.109,8,1980,1.109,333.404,,,,,,,
26/08/1980,17.1,0.563,8,1980,0.563,349.941,,,,,,,
27/08/1980,0,0.649,8,1980,0.649,349.292,,,,,,,
28/08/1980,0,0.585,8,1980,0.585,348.707,,,,,,,
29/08/1980,0,1.001,8,1980,1.001,347.706,,,,,,,
30/08/1980,10.5,1.412,8,1980,1.412,356.794,,,,,,,
31/08/1980,0,2.117,8,1980,2.117,354.677,,,,,,,
1/09/1980,9.6,1.111,9,1980,1.111,363.166,,,,,,,
2/09/1980,0,2.862,9,1980,2.862,360.304,,,,,,,
3/09/1980,0,1.75,9,1980,1.75,358.554,,,,,,,
4/09/1980,22.2,1.03,9,1980,1.03,379.724,,,,,,,
5/09/1980,0,1.914,9,1980,1.914,377.81,,,,,,,
6/09/1980,0,2.098,9,1980,2.098,375.712,,,,,,,
7/09/1980,0,2.018,9,1980,2.018,373.694,,,,,,,
