stationID,date,max_temp,min_temp,min_tg
25222,30/01/2004,25.1,16.8,14.6
25222,31/01/2004,23.3,15.9,13.5
25222,01/02/2004,25.1,18.9,18.5
25222,02/02/2004,22.7,18.2,17.9
25222,03/02/2004,22.6,16.1,13.1
25222,04/02/2004,23.4,17.1,16.1
25222,05/02/2004,20.0,15.6,15.2
25222,06/02/2004,18.8,9.8,7.4
25222,07/02/2004,19.9,13.0,10.9
25222,08/02/2004,19.9,15.6,13.2
25222,09/02/2004,19.4,9.8,8.5
25222,10/02/2004,19.5,12.9,9.8
25222,11/02/2004,23.4,17.3,15.8
25222,12/02/2004,24.1,16.9,16.7
25222,13/02/2004,19.5,11.9,9.7
25222,14/02/2004,20.1,13.8,13.0
25222,15/02/2004,20.2,9.9,8.6
25222,16/02/2004,14.6,11.6,11.1
25222,17/02/2004,18.8,12.0,10.4
25222,18/02/2004,15.9,9.9,8.7
25222,19/02/2004,19.5,13.7,12.6
25222,20/02/2004,22.0,10.9,9.4
25222,21/02/2004,15.8,11.1,9.7
25222,22/02/2004,20.5,13.4,11.2
25222,23/02/2004,19.1,8.8,7.1
25222,24/02/2004,19.6,13.1,13.5
25222,25/02/2004,17.4,12.2,9.4
25222,26/02/2004,16.4,5.8,3.6
25222,27/02/2004,17.3,7.5,4.5
25222,28/02/2004,19.0,13.0,-
25222,29/02/2004,20.1,16.0,14.8
25222,01/03/2004,17.8,13.5,12.8
25222,02/03/2004,20.2,11.5,9.0
25222,03/03/2004,19.9,12.0,9.7
25222,04/03/2004,14.9,9.4,5.8
25222,05/03/2004,15.3,5.0,1.6
25222,06/03/2004,16.8,9.2,6.4
25222,07/03/2004,17.2,8.5,5.1
25222,08/03/2004,20.0,10.7,7.6
25222,09/03/2004,20.7,13.5,12.3
25222,10/03/2004,21.7,11.4,9.2
25222,11/03/2004,22.5,13.7,10.5
25222,12/03/2004,17.7,7.9,4.2
25222,13/03/2004,17.8,5.9,3.8
25222,14/03/2004,17.0,9.8,7.2
25222,15/03/2004,18.5,11.1,8.8
25222,16/03/2004,18.4,9.5,5.8
25222,17/03/2004,20.8,12.9,8.9
25222,18/03/2004,20.0,8.1,4.5
25222,19/03/2004,17.2,8.9,5.5
25222,20/03/2004,17.7,10.6,8.2
25222,21/03/2004,19.1,10.0,-
25222,22/03/2004,21.1,13.8,11.3
25222,23/03/2004,17.4,12.2,9.7
25222,24/03/2004,18.3,13.2,10.9
25222,25/03/2004,17.5,5.4,2.2
25222,26/03/2004,16.7,3.1,0.0
25222,27/03/2004,17.8,11.8,10.0
25222,28/03/2004,18.4,10.7,9.2
25222,29/03/2004,15.3,8.0,3.7
25222,30/03/2004,15.1,4.4,0.9
25222,31/03/2004,17.4,8.0,3.9
25222,01/04/2004,15.8,3.9,0.6
25222,02/04/2004,19.1,13.3,12.1
25222,03/04/2004,18.1,11.1,8.0
25222,04/04/2004,16.4,10.0,7.0
25222,05/04/2004,17.1,8.8,6.3
25222,06/04/2004,14.9,8.7,3.0
25222,07/04/2004,13.1,2.3,-0.9
25222,08/04/2004,11.5,2.6,-0.7
25222,09/04/2004,13.2,7.6,7.1
25222,10/04/2004,13.3,6.4,2.9
25222,11/04/2004,15.8,10.4,8.1
25222,12/04/2004,14.0,11.5,9.5
25222,13/04/2004,14.7,7.7,5.0
25222,14/04/2004,14.3,1.3,-2.2
25222,15/04/2004,17.8,4.2,0.6
25222,16/04/2004,15.4,8.5,1.7
25222,17/04/2004,16.6,7.9,5.0
25222,18/04/2004,17.6,11.9,10.1
25222,19/04/2004,16.1,7.7,3.2
25222,20/04/2004,16.6,7.0,2.6
25222,21/04/2004,17.9,4.4,1.7
25222,22/04/2004,16.7,11.5,5.0
25222,23/04/2004,16.5,11.4,9.3
25222,24/04/2004,16.1,7.0,2.8
25222,25/04/2004,17.4,9.8,8.0
25222,26/04/2004,17.2,11.2,9.6
25222,27/04/2004,18.0,12.8,10.7
25222,28/04/2004,15.7,10.6,8.2
25222,29/04/2004,15.9,9.7,9.4
25222,30/04/2004,14.7,9.5,5.4
25222,01/05/2004,18.9,12.4,6.8
25222,02/05/2004,17.8,15.1,13.8
25222,03/05/2004,19.5,13.4,9.7
25222,04/05/2004,18.7,11.8,10.1
25222,05/05/2004,15.9,11.8,9.7
25222,06/05/2004,18.4,9.4,6.9
25222,07/05/2004,15.9,8.5,5.9
25222,08/05/2004,16.2,10.9,9.4
25222,09/05/2004,16.4,8.0,5.6
25222,10/05/2004,17.3,8.7,6.0
25222,11/05/2004,18.0,11.0,9.6
25222,12/05/2004,17.7,13.9,12.7
25222,13/05/2004,19.0,10.3,7.4
25222,14/05/2004,17.8,8.1,5.9
25222,15/05/2004,14.4,9.4,8.9
25222,16/05/2004,11.8,5.9,3.3
25222,17/05/2004,12.2,0.4,-0.4
25222,18/05/2004,13.1,0.8,-1.0
25222,19/05/2004,14.2,2.0,0.6
25222,20/05/2004,15.0,4.2,2.3
25222,21/05/2004,16.2,2.6,0.0
25222,22/05/2004,17.2,8.5,7.6
25222,23/05/2004,12.9,7.6,3.8
25222,24/05/2004,13.6,6.1,1.3
25222,25/05/2004,12.7,6.3,1.9
25222,26/05/2004,13.0,0.6,-1.7
25222,27/05/2004,15.2,4.2,1.6
25222,28/05/2004,16.3,6.7,2.4
25222,29/05/2004,15.6,11.2,9.3
25222,30/05/2004,14.7,9.3,7.5
25222,31/05/2004,13.7,8.6,6.7
25222,01/06/2004,14.0,3.7,1.7
25222,02/06/2004,15.2,11.6,9.1
25222,03/06/2004,15.4,12.8,11.3
25222,04/06/2004,14.8,11.5,9.2
25222,05/06/2004,16.4,6.7,3.7
25222,06/06/2004,13.3,7.6,5.7
25222,07/06/2004,11.5,8.3,6.0
25222,08/06/2004,12.9,1.1,-0.6
25222,09/06/2004,14.0,4.7,1.8
25222,10/06/2004,13.3,3.4,-1.5
25222,11/06/2004,13.3,3.3,-1.1
25222,12/06/2004,11.6,-0.6,-3.9
25222,13/06/2004,11.8,1.3,-1.5
25222,14/06/2004,14.3,5.6,1.4
25222,15/06/2004,15.3,8.2,4.5
25222,16/06/2004,16.5,10.9,7.4
25222,17/06/2004,16.1,10.9,9.1
25222,18/06/2004,14.4,10.6,7.8
