my_year,July,August,September,October,November,December,January,February,March,April,May,June
2018,33,49,58,75,75,74,47,21,36,35,41,32
2017,24,41,57,68,71,38,35,37,50,54,45,28
2016,32,35,65,76,72,68,53,58,46,48,36,27
2015,24,40,60,76,72,66,33,25,29,44,33,29
2014,24,30,67,86,77,82,59,37,40,53,44,26
2013,25,40,57,82,78,83,67,45,31,20,33,26
2012,28,41,60,66,71,59,44,23,19,18,39,21
2011,24,27,57,88,74,68,65,51,37,36,30,20
2010,22,48,77,68,68,43,32,50,48,40,43,24
2009,27,44,72,65,84,77,57,46,29,22,31,21
2008,21,34,61,70,73,73,45,36,41,23,21,15
2007,16,36,58,78,81,57,49,21,17,34,30,22
2006,19,33,64,76,77,66,73,47,33,43,32,17
2005,21,38,56,83,76,72,66,39,30,51,29,16
2004,16,29,46,91,72,64,71,34,38,39,28,16
2003,17,32,64,74,86,77,59,65,59,33,31,21
2002,23,30,77,75,90,81,48,26,15,28,28,25
2001,17,30,81,94,74,83,62,47,43,30,29,16
