day,max_temp,min_temp,solar_radn,wind_run,rain,evapo_trans
1/01/1980,20,14,22.5,0,13,4.264
2/01/1980,17.9,11.2,18.9,0,5.8,3.331
3/01/1980,17.4,9.7,14.8,0,0,2.451
4/01/1980,13.4,10.3,12.3,0,0,1.887
5/01/1980,19.7,7.4,29.1,0,0,5.275
6/01/1980,20.6,5.6,23.8,0,0,4.188
7/01/1980,19.9,10.1,20.5,0,0,3.688
8/01/1980,21.1,9.3,26.1,0,0,4.848
9/01/1980,22.8,8.2,28.3,0,0,5.33
10/01/1980,22,11.5,26.9,0,0,5.171
11/01/1980,24.3,10.3,30.1,0,3.2,5.911
12/01/1980,24,13.3,19.6,0,0,3.769
13/01/1980,23.6,16.1,24,0,0,4.842
14/01/1980,24.5,14.7,18,0,0,3.482
15/01/1980,23.4,16.5,21,0,6.4,4.178
16/01/1980,21.7,18.9,16.3,0,14.4,3.144
17/01/1980,17.1,12.2,22.4,0,19.1,4.045
18/01/1980,17.2,8.6,19.1,0,0,3.255
19/01/1980,18.3,10,13.6,0,14.6,2.243
20/01/1980,22.3,14.3,18.7,0,0,3.548
21/01/1980,19.5,9.2,14.6,0,1.2,2.453
22/01/1980,21.8,11.8,18.1,0,3.2,3.318
23/01/1980,18.6,13.5,21.3,0,2.3,3.934
24/01/1980,20.2,12.2,19.5,0,5.8,3.571
25/01/1980,20.7,14.6,24.1,0,0,4.663
26/01/1980,21.9,7.6,26.8,0,0,4.944
27/01/1980,23,13.1,25,0,0,4.895
28/01/1980,21.2,16,15,0,0,2.76
29/01/1980,25,11.4,23.7,0,0,4.627
30/01/1980,25.3,13.2,27.9,0,0,5.651
31/01/1980,23.8,15.2,25.4,0,0,5.122
1/02/1980,22.3,11.3,16.8,0,0,3.044
2/02/1980,22.1,14.5,22.9,0,0,4.462
3/02/1980,21.4,12.2,19.4,0,0,3.593
4/02/1980,23.2,12.1,19.7,0,0,3.718
5/02/1980,21.9,15.4,13.1,0,0,2.346
6/02/1980,22.3,11.1,24.5,0,0,4.66
7/02/1980,22.4,8.7,13.6,0,1.5,2.309
8/02/1980,23.4,8.8,26.3,0,0,4.979
9/02/1980,24.1,14,20.6,0,17.2,4.019
10/02/1980,20.4,16.7,14.2,0,1.3,2.582
11/02/1980,16.2,9.3,23.3,0,1.4,4.059
12/02/1980,20.3,5.3,24.3,0,0,4.258
13/02/1980,19.5,9.5,11.5,0,19.1,1.836
14/02/1980,19.9,11.3,11.5,0,4.7,1.879
15/02/1980,21.9,14.4,12,0,0,2.085
16/02/1980,22.8,8.8,17.4,0,0,3.107
17/02/1980,24,9.6,25.2,0,0,4.818
18/02/1980,22.6,14.6,16.5,0,0,3.088
19/02/1980,23.2,11,25.3,0,0,4.868
20/02/1980,21.9,12.1,19.8,0,0,3.692
21/02/1980,19.8,13.3,15.8,0,5.8,2.819
22/02/1980,19.2,9.2,11.5,0,0,1.825
23/02/1980,19.1,12.5,21.2,0,0,3.894
24/02/1980,18,9.4,21.4,0,0,3.767
25/02/1980,18.2,6,15.6,0,8.3,2.528
26/02/1980,17.8,10.5,19.9,0,5.7,3.503
27/02/1980,19.4,11.9,16.8,0,0,2.974
28/02/1980,19.9,10.7,21.7,0,0,3.956
29/02/1980,17.8,9.8,18.2,0,6.2,3.139
1/03/1980,17.9,10.1,9,0,23.9,1.319
2/03/1980,18.4,12.1,10.4,0,28.6,1.64
3/03/1980,18.6,14,10.6,0,0,1.717
4/03/1980,20.4,11.8,19.4,0,0,3.543
5/03/1980,22.7,11.6,15.8,0,0,2.852
6/03/1980,22,8.9,22.4,0,0,4.112
7/03/1980,19.9,9.2,18.5,0,0,3.25
8/03/1980,20.6,12.7,13.3,0,0,2.298
9/03/1980,21.2,8.9,18.4,0,0,3.263
10/03/1980,21.1,7.8,19.7,0,0,3.485
11/03/1980,20.5,13.5,8.9,0,4.7,1.381
12/03/1980,19.8,13.9,14.8,0,2,2.624
13/03/1980,16.7,10.4,15.3,0,0,2.55
14/03/1980,19.4,6.2,19,0,1.4,3.228
15/03/1980,17.1,10.6,8.5,0,19.7,1.215
16/03/1980,18.8,11.4,14.5,0,1.5,2.471
17/03/1980,14.6,9.8,12.7,0,6.2,1.978
18/03/1980,16.3,3,14.1,0,0,2.11
19/03/1980,19.1,8.4,14.5,0,0,2.402
20/03/1980,19.3,9.7,10.6,0,11.4,1.655
21/03/1980,15.9,9,18.8,0,0,3.165
22/03/1980,17.3,4.5,13,0,0,1.977
23/03/1980,19.1,10.1,9.9,0,0,1.517
24/03/1980,18.6,11.8,10.6,0,0,1.679
25/03/1980,17.1,9.8,9.6,0,0,1.422
26/03/1980,16.2,7.9,11.2,0,0,1.685
27/03/1980,18.3,6.2,16.1,0,0,2.633
28/03/1980,17.1,10,10.4,0,20,1.583
29/03/1980,19.9,13.7,11.6,0,2,1.946
30/03/1980,20,12,11.7,0,17.1,1.935
31/03/1980,17.9,15.2,9,0,29.6,1.39
1/04/1980,15.4,8.5,11,0,6.4,1.643
2/04/1980,15.8,7.5,8,0,22.4,1.064
3/04/1980,14,8.7,8.7,0,7.8,1.188
4/04/1980,16.4,6.8,13.4,0,0,2.084
5/04/1980,15.4,6.3,8.7,0,0,1.175
6/04/1980,16.5,9.6,6.9,0,4.2,0.882
7/04/1980,18.8,12.1,10.9,0,2.9,1.75
8/04/1980,17.6,10.4,6.8,0,3.2,0.88
9/04/1980,17.6,10.9,7.9,0,4.8,1.105
10/04/1980,16.1,7.9,8.4,0,11.4,1.148
11/04/1980,13.8,10.7,6.6,0,0,0.809
12/04/1980,15.1,4.9,16,0,0,2.475
13/04/1980,15.9,4.8,9,0,0,1.217
14/04/1980,16.8,4.5,15.4,0,0,2.411
15/04/1980,16.9,6.3,11.6,0,0,1.744
16/04/1980,17.7,4.7,14.8,0,0,2.328
17/04/1980,16.5,5,13,0,0,1.971
18/04/1980,16.6,7.8,8.2,0,0,1.115
19/04/1980,15.2,8.2,14.3,0,0,2.26
20/04/1980,17.1,2.8,15.6,0,0,2.399
21/04/1980,17.3,4.3,11.2,0,0,1.638
22/04/1980,17.4,4.7,15.3,0,0,2.414
23/04/1980,16.9,3.2,14.6,0,0,2.231
24/04/1980,17.5,8.6,8.5,0,0,1.194
25/04/1980,18.2,11,9.2,0,0,1.376
26/04/1980,16.8,9,7.1,0,0,0.918
27/04/1980,17.6,10.8,6.5,0,20.8,0.824
28/04/1980,18.2,14.1,8.8,0,9.6,1.337
29/04/1980,15.2,8.1,10,0,4.2,1.443
30/04/1980,16.2,8.6,9.3,0,5,1.332
1/05/1980,15.8,5,8.5,0,0,1.126
2/05/1980,16.1,3.6,9.6,0,2.4,1.306
3/05/1980,15.3,7.3,6.9,0,0,0.849
4/05/1980,17.3,3.1,11.4,0,0,1.653
5/05/1980,14.4,2.9,4.6,0,0,0.388
6/05/1980,15.3,4.7,5.1,0,0,0.494
7/05/1980,14.2,4.3,5.3,0,1.1,0.519
8/05/1980,14.4,5.1,11.2,0,0,1.592
9/05/1980,14.7,4.6,9.4,0,0,1.263
10/05/1980,16.9,3.6,10.4,0,0,1.471
11/05/1980,13.8,4.2,5.2,0,0,0.498
12/05/1980,14.9,3.6,8.7,0,0,1.125
13/05/1980,15,3.4,9.8,0,0,1.319
14/05/1980,15.1,7.4,5.4,0,5.2,0.566
15/05/1980,16.3,9.3,7.9,0,0,1.071
16/05/1980,15.9,6,9.1,0,0,1.252
17/05/1980,15.1,5.9,6,0,0,0.667
18/05/1980,14.7,9.8,4.8,0,20.9,0.464
19/05/1980,14.1,11,8.9,0,0,1.259
20/05/1980,16.1,8.4,7.4,0,0,0.963
21/05/1980,15.3,7.8,4.4,0,18.3,0.381
22/05/1980,14.2,7,6.5,0,6.1,0.761
23/05/1980,16.3,8.5,7.3,0,3.1,0.947
24/05/1980,16.8,11.3,5.9,0,1.2,0.701
25/05/1980,16,9.6,6.8,0,0,0.858
26/05/1980,15.3,7.3,7.4,0,9.6,0.943
27/05/1980,14.9,7.5,5.9,0,0,0.659
28/05/1980,13.2,4.6,8.8,0,0,1.132
29/05/1980,13.5,5.2,10.3,0,0,1.414
30/05/1980,14,2.6,7.8,0,0,0.939
31/05/1980,11.4,5.1,4.4,0,0,0.349
1/06/1980,13.8,7.6,3.7,0,0,0.244
2/06/1980,17,10,5.6,0,0,0.634
3/06/1980,14.6,9.5,3.9,0,7.6,0.29
4/06/1980,15.4,12.2,3.4,0,19.4,0.201
5/06/1980,13.6,9.3,4.3,0,1.9,0.361
6/06/1980,13.6,7.3,3.9,0,7.3,0.279
7/06/1980,12.4,9.4,3.6,0,0,0.226
8/06/1980,12.9,3.5,7.9,0,1.5,0.954
9/06/1980,13.2,4.5,6,0,0,0.637
10/06/1980,14,4.1,7.1,0,0,0.835
11/06/1980,14.2,6.8,4,0,63.6,0.298
12/06/1980,11.9,6.7,8.3,0,0,1.055
13/06/1980,13.1,2.9,5.6,0,8,0.553
14/06/1980,9,5.1,4.2,0,1.4,0.304
15/06/1980,7.6,1.4,5.3,0,9.9,0.451
16/06/1980,8.3,3.2,4.8,0,3.6,0.389
17/06/1980,9.8,2.7,7.1,0,0,0.771
18/06/1980,10.1,1.5,7.4,0,0,0.808
19/06/1980,10.7,0.4,8.8,0,0,1.026
20/06/1980,11,-1.7,6.6,0,0,0.656
21/06/1980,11.4,0.9,4.3,0,0,0.312
22/06/1980,11.7,4.2,4.1,0,0,0.295
23/06/1980,13.3,1.1,7.4,0,0,0.843
24/06/1980,13.8,4,5,0,0,0.461
25/06/1980,12,6.4,3.7,0,0,0.234
26/06/1980,10.5,3.3,8.9,0,0,1.085
27/06/1980,11.7,-1.2,8.2,0,0,0.922
28/06/1980,8.4,0,4.3,0,0,0.294
29/06/1980,14.1,4.8,4.4,0,1.8,0.361
30/06/1980,14.8,7,3.3,0,19.7,0.17
1/07/1980,13.6,8.3,8.5,0,2.6,1.14
2/07/1980,14.9,9,4.9,0,1.2,0.48
3/07/1980,11.9,8.1,3.9,0,9.3,0.275
4/07/1980,11,7.6,4.4,0,1.2,0.359
5/07/1980,12.7,7.1,5.8,0,0,0.619
6/07/1980,12.2,2.3,6.3,0,0,0.659
7/07/1980,13,3.4,6.8,0,5.5,0.764
8/07/1980,13.4,4,6.5,0,3.9,0.722
9/07/1980,12.2,7.7,4,0,7.3,0.293
10/07/1980,11.7,4.8,6.6,0,4.6,0.73
11/07/1980,8.8,1.4,4.2,0,12.4,0.286
12/07/1980,11.1,1.6,9.2,0,0,1.117
13/07/1980,12.2,3.2,9.3,0,0,1.179
14/07/1980,11.5,6,5.1,0,10.4,0.477
15/07/1980,10.3,5.1,5.9,0,9.6,0.599
16/07/1980,9.7,2.8,5.7,0,1.2,0.542
17/07/1980,10.6,2.5,9.8,0,0,1.223
18/07/1980,9.4,-1.3,6.1,0,0,0.567
19/07/1980,11.4,-0.8,9.1,0,0,1.066
20/07/1980,11.5,-0.1,5.9,0,0,0.565
21/07/1980,9.5,3,4.2,0,0,0.297
22/07/1980,9.6,5.2,3.8,0,8.1,0.239
23/07/1980,11.2,6.3,3.9,0,16.1,0.266
24/07/1980,11,5.8,8.8,0,0,1.116
25/07/1980,12.5,1.9,6.8,0,0,0.742
26/07/1980,12.9,1.2,6.9,0,1.7,0.756
27/07/1980,12.6,3,4.6,0,0,0.379
28/07/1980,13.9,2.2,7,0,0,0.795
29/07/1980,10.5,1.1,5.3,0,0,0.47
30/07/1980,11.1,0.4,8.4,0,3.4,0.968
31/07/1980,13.8,0.8,4.1,0,2.5,0.289
1/08/1980,9.9,5.1,5.1,0,23.6,0.46
2/08/1980,11.9,5,8.6,0,7.8,1.083
3/08/1980,12.9,4.1,9.4,0,0,1.224
4/08/1980,12.8,4.2,10.6,0,0,1.433
5/08/1980,13.4,4.2,9.6,0,0,1.269
6/08/1980,14,6,10.3,0,4.6,1.439
7/08/1980,9.1,3,10.5,0,1.4,1.318
8/08/1980,10.6,0.9,10.6,0,0,1.322
9/08/1980,10.8,3.9,8.2,0,0,0.982
10/08/1980,11.8,0.2,13.1,0,0,1.738
11/08/1980,12.5,2.2,8.1,0,0,0.965
12/08/1980,14.1,3.9,6.5,0,1.8,0.728
13/08/1980,15.2,10.8,6.8,0,4.3,0.861
14/08/1980,12.9,6.9,13,0,0,1.925
15/08/1980,12.2,0.3,10.1,0,1.2,1.261
16/08/1980,11.4,7.2,6.5,0,24.9,0.734
17/08/1980,8.6,1.3,7.5,0,3.2,0.803
18/08/1980,10.3,1.6,13.2,0,0,1.752
19/08/1980,12.4,-0.2,9,0,0,1.076
20/08/1980,13.5,4.3,8,0,0,0.991
21/08/1980,11.2,1.6,14,0,0,1.907
22/08/1980,12.2,-1.1,12.2,0,0,1.57
23/08/1980,12.5,1.5,6.3,0,0,0.654
24/08/1980,14.7,2.8,10.4,0,0,1.408
25/08/1980,17.7,7.8,8.1,0,0,1.109
26/08/1980,14.4,10.6,5.3,0,17.1,0.563
27/08/1980,12.6,8.4,5.9,0,0,0.649
28/08/1980,10.7,5,5.8,0,0,0.585
29/08/1980,12.4,2.5,8.3,0,0,1.001
30/08/1980,14.1,3.6,10.4,0,10.5,1.412
31/08/1980,14.7,7.5,13.7,0,0,2.117
1/09/1980,14.7,2.9,8.7,0,9.6,1.111
2/09/1980,15.8,6.3,17.7,0,0,2.862
3/09/1980,16.2,8.3,11.5,0,0,1.75
4/09/1980,13.1,7.4,8,0,22.2,1.03
5/09/1980,13.1,7.5,12.8,0,0,1.914
6/09/1980,13.7,5.2,14.1,0,0,2.098
7/09/1980,13.4,2.1,14.2,0,0,2.018
8/09/1980,14.7,4.3,10,0,1.5,1.366
9/09/1980,14,4.1,13.7,0,9.8,2.005
10/09/1980,15.2,8.6,12.8,0,6.5,1.984
11/09/1980,13.9,6.9,12.8,0,7.4,1.918
12/09/1980,15.3,8.9,15.6,0,1.4,2.528
13/09/1980,13.9,10.7,8.7,0,18.1,1.214
14/09/1980,11.4,4.3,15.6,0,0,2.263
15/09/1980,13.5,5.2,10.9,0,0,1.521
16/09/1980,13.5,6.7,9,0,10.9,1.21
17/09/1980,13.5,7,13,0,7.2,1.948
18/09/1980,15.6,7.5,13.5,0,0,2.101
19/09/1980,14.2,7.5,7.8,0,11.5,1.007
20/09/1980,15.2,7.4,16.5,0,8.8,2.653
21/09/1980,14.5,6.7,13.9,0,0,2.13
22/09/1980,14.9,7.4,11.9,0,4.5,1.782
23/09/1980,15.4,9.2,15,0,0,2.424
24/09/1980,16,6,13.1,0,0,2
25/09/1980,17.6,6.3,17.2,0,0,2.825
26/09/1980,15.5,7.5,8.6,0,0,1.173
27/09/1980,14.6,10.3,8.4,0,14.1,1.16
28/09/1980,13.8,4.9,14.7,0,0,2.2
29/09/1980,15.2,5.3,16.2,0,0,2.535
30/09/1980,16.5,4.1,10.2,0,0,1.436
1/10/1980,18.9,6.4,22.4,0,0,3.876
2/10/1980,17,9.3,11,0,0,1.686
3/10/1980,19.2,8.1,17,0,0,2.892
4/10/1980,18,10.4,15.5,0,14.3,2.625
5/10/1980,13.7,4.1,10.7,0,0,1.467
6/10/1980,18.8,5.2,20.8,0,0,3.516
7/10/1980,18.9,8.9,17.4,0,0,2.987
8/10/1980,19.1,7,21.5,0,0,3.734
9/10/1980,19.1,13,15.8,0,15.5,2.79
10/10/1980,15.7,12.8,10.8,0,1.3,1.686
11/10/1980,15,7.6,18.7,0,0,3.067
12/10/1980,14.3,6.8,20.3,0,2.2,3.311
13/10/1980,13.4,7.6,16.7,0,0,2.642
14/10/1980,14.7,1.8,19,0,5.4,2.878
15/10/1980,16.7,10.3,15.7,0,1.3,2.626
16/10/1980,16.1,8.2,16.3,0,0,2.665
17/10/1980,13.3,6.4,10.2,0,21.1,1.415
18/10/1980,13.6,6.1,12.1,0,1.7,1.759
19/10/1980,15.5,4.9,22.3,0,0,3.651
20/10/1980,17,2,23.5,0,0,3.787
21/10/1980,18,6.2,24.3,0,0,4.193
22/10/1980,18.1,10,12.1,0,0,1.939
23/10/1980,19,9.5,22.9,0,0,4.111
24/10/1980,20.3,5.9,22.7,0,0,3.973
25/10/1980,19.4,6.2,23.3,0,0,4.063
26/10/1980,20.9,3.4,21.7,0,0,3.7
27/10/1980,17.8,5.9,18.2,0,0,3.009
28/10/1980,16.7,8.2,13.8,0,0,2.201
29/10/1980,16.3,10.4,12.7,0,7.4,2.028
30/10/1980,18.1,4.8,20.4,0,1.4,3.397
31/10/1980,18.2,7,21.8,0,3.2,3.756
1/11/1980,15.9,9.8,21.1,0,0,3.64
2/11/1980,16.5,4.1,28,0,3.4,4.706
3/11/1980,17.1,10.3,24.9,0,0,4.46
4/11/1980,15.6,5.7,16.8,0,16.3,2.67
5/11/1980,17.3,11.5,15.3,0,0,2.596
6/11/1980,17.6,9.5,23.3,0,0,4.13
7/11/1980,15.1,9.4,13.3,0,6.9,2.095
8/11/1980,17.8,11.5,13,0,7.9,2.145
9/11/1980,12.6,9,12.5,0,1.9,1.88
10/11/1980,13.1,3.2,27.2,0,3.9,4.287
11/11/1980,14.6,2.8,15.1,0,0,2.231
12/11/1980,16.7,7.2,20.6,0,0,3.474
13/11/1980,17.7,10.9,25.6,0,0,4.657
14/11/1980,19.1,6.8,21.5,0,0,3.726
15/11/1980,21.7,12.8,15.1,0,0,2.709
16/11/1980,15.1,8.6,23.6,0,7.8,4.037
17/11/1980,15.6,5.8,27.5,0,0,4.657
18/11/1980,16.8,8.5,16.5,0,0,2.733
19/11/1980,21.8,11.1,21.6,0,0,4.029
20/11/1980,21.1,11.8,20.1,0,2.3,3.715
21/11/1980,19.2,9.8,24.6,0,0,4.475
22/11/1980,18.2,10.4,26.8,0,5.5,4.898
23/11/1980,16.7,10.1,23.3,0,2.3,4.116
24/11/1980,16.6,8,19.1,0,10.2,3.212
25/11/1980,14.8,8.1,21.9,0,7.9,3.68
26/11/1980,13.9,5.9,19.4,0,2.8,3.085
27/11/1980,15.7,7.3,12.2,0,7.6,1.853
28/11/1980,16.4,11.8,24.4,0,0,4.398
29/11/1980,16.2,6.2,19.2,0,0,3.153
30/11/1980,16.9,8.2,11.8,0,13,1.819
1/12/1980,15.9,10.2,26.1,0,0,4.632
2/12/1980,15.8,7.1,25,0,0,4.265
3/12/1980,18.8,5.9,27.8,0,0,4.89
4/12/1980,16.8,7.3,18,0,0,2.984
5/12/1980,17.9,10.9,14,0,3.6,2.335
6/12/1980,15.9,10.6,24.7,0,0,4.378
